"text","label"
"Continuing wildfires devastate ecosystems, compelling ecologists to study fire ecology and implement habitat restoration programs.","Wild Fire"
"The aftermath of water-related disasters underscores the importance of clean water access and resilient water supply systems for affected communities.","Water Disaster"
"A powerful earthquake, with a magnitude of 9.3, rocks the region, causing extensive damage to buildings and triggering landslides on steep slopes.","Earthquake"
"The relentless drought intensifies, leading to acute water scarcity, livestock deaths, and failed crops, threatening the survival of communities.","Drought"
"Damaged bridges and roads impede rescue efforts, isolating communities and obstructing the delivery of crucial aid and medical assistance.","Damaged Infrastructure"
"The profound human impact of the conflict results in a refugee crisis, forcing families into makeshift camps, struggling with limited resources.","Human Damage"
"International humanitarian agencies collaborate to establish medical facilities, provide food, clean water, and shelter to displaced families.","Humanitarian Aid"
"Land slides bury villages under debris, complicating rescue operations and emphasizing the need for heavy machinery and skilled personnel.","Land Slide"
"While buildings and streets appear unharmed, the looming threat of landslides necessitates geotechnical assessments and community evacuation plans.","Non Damage Buildings and Street"
"Non-damage to wildlife forest areas preserves biodiversity, promoting eco-friendly practices and scientific research for the conservation of species.","Non Damage Wildlife Forest"
"Coastal cities implement climate-resilient infrastructure, constructing seawalls and restoring wetlands to mitigate the impact of rising sea levels.","Sea"
"Urban fire preparedness initiatives educate communities on fire-resistant landscaping, firefighting techniques, and evacuation procedures.","Urban Fire"
"Wildfires continue to devastate natural habitats, prompting ecologists to study fire ecology and implement reforestation efforts for habitat restoration.","Wild Fire"
"A devastating earthquake, measuring 9.6 on the Richter scale, strikes, causing widespread destruction to buildings and triggering landslides in hilly terrain.","Earthquake"
"The relentless drought crisis deepens, leading to severe water shortages, livestock fatalities, and agricultural losses, threatening local economies.","Drought"
"Collapsed bridges and damaged roads create logistical challenges, hindering relief efforts and delaying the distribution of vital supplies to affected areas.","Damaged Infrastructure"
"The profound human impact of the conflict results in a refugee emergency, forcing families into overcrowded camps, struggling with limited resources and healthcare.","Human Damage"
"International humanitarian agencies coordinate relief efforts, providing medical care, clean water, and temporary shelter to displaced families in temporary camps.","Humanitarian Aid"
"Land slides devastate villages, leaving destruction in their wake and blocking essential roads, making rescue and recovery operations extremely challenging.","Land Slide"
"While buildings and streets appear non-damaged, the constant threat of landslides necessitates geological assessments, early warning systems, and community evacuation plans.","Non Damage Buildings and Street"
"Non-damage to wildlife forest areas is a beacon of hope, promoting eco-friendly practices and sustainable tourism to protect diverse ecosystems and endangered species.","Non Damage Wildlife Forest"
"Coastal cities invest in resilient urban planning, constructing flood-resistant buildings and restoring mangrove forests to mitigate the impact of rising sea levels.","Sea"
"Urban fire preparedness initiatives educate communities about fire-resistant construction materials, firefighting techniques, and fire evacuation protocols.","Urban Fire"
"Wildfires continue to ravage natural habitats, prompting ecologists to study fire ecology and implement reforestation efforts for habitat restoration and conservation.","Wild Fire"
"The aftermath of water-related disasters showcases community resilience, emphasizing the importance of watershed management, clean water access, and sustainable water supply systems.","Water Disaster"
"A devastating earthquake with a magnitude of 8.5 struck the city, causing widespread destruction and loss of life.","Earthquake"
"Severe drought has parched farmlands, leading to crop failures and water shortages in the region.","Drought"
"Damaged infrastructure, including collapsed bridges and roads, is hindering rescue efforts after the disaster.","Damaged Infrastructure"
"Human damage is extensive, with many casualties reported and numerous people missing in the aftermath of the incident.","Human Damage"
"Rescue teams are working tirelessly to locate missing individuals and provide aid to the affected human populations.","Human"
"A massive land slide buried several homes and blocked major highways, trapping residents and travelers.","Land Slide"
"Despite the disaster, non-damaged buildings and streets serve as temporary shelters and aid distribution points.","Non Damage Buildings and Street"
"The national park, despite the disaster, remains a safe haven for non-damaged wildlife and forests.","Non Damage Wildlife Forest"
"The coastal areas are severely affected by the disaster, with rising sea levels inundating communities and farmlands.","Sea"
"An urban fire has engulfed several buildings, posing a threat to residents and businesses in the city center.","Urban Fire"
"Wildfires continue to rage across vast expanses of land, destroying wildlife habitats and threatening nearby communities.","Wild Fire"
"Water disaster strikes as floods and tsunamis wreak havoc, submerging towns and villages under meters of water.","Water Disaster"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me","Earthquake"
"3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf","Earthquake"
"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…","Earthquake"
"A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…","Earthquake"
"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…","Earthquake"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR","Earthquake"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2","Earthquake"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn","Earthquake"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF","Earthquake"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV","Earthquake"
"Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe","Earthquake"
"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…","Earthquake"
"Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak","Earthquake"
"Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…","Earthquake"
"The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…","Earthquake"
"Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…","Earthquake"
"And this is the fourth road/bridge collapse in a span of 6 weeks. Just saying.","Damaged Infrastructure"
"And this is the fourth road/bridge collapse in a span of 6 weeks. Just saying.","Damaged Infrastructure"
"Australia is burning. The worst is yet to come: 24 people dead 500 million animals dead 8,000 koalas dead Over 5.5 mi…","Urban Fire"
"VIDEO: Drone footage captures massive Bound Brook fire from up above --&gt","Urban Fire"
"#BoundBrookFire Firefighters from several different departments came together to prevent even more buildings from burn…","Urban Fire"
"Massive fire burning in apartment building under construction, neighboring buildings in New Jersey https://t.co/96UeW5Jpno","Urban Fire"
"#BoundBrookFire Firefighters from several different departments came together to prevent even more buildings from… https://t.co/WwYgBEupzJ","Urban Fire"
"Demolition has begun on the burned out buildings in #BoundBrook. Slow process. Investigation into how/where it started…","Urban Fire"
"Sad news coming from Bhainsa, Nirmal district, #Telangana peaceful stone pelter and mobs have selectively targeted h…","Urban Fire"
"With all the buildings that have been ‘set’ on fire in Glasgow over the last few years, it’s doesn’t sit right. the… https://t.co/6i6ZIfynFV","Urban Fire"
"When fire ravaged Notre-Dame Cathedral in Paris on April 15, 2019, the whole world was in shock that the heritage of this i…","Urban Fire"
"Demolition has begun on the burned out buildings in #BoundBrook. Slow process. Investigation into how/where it st… https://t.co/myA1JIwQXu","Urban Fire"
"This afternoon the fire alarm sounded in our buildings. Our facilities manager found the fair linen and frontal on… https://t.co/qUM9xljIaC","Urban Fire"
"Glasgow still setting unused buildings on fire in 2020 then 😂","Urban Fire"
"An update on the massive fire on Main Street in Bound Brook Sunday night. https://t.co/GjM6x84Rtt","Urban Fire"
"Depends on what the local fire code is that determines how steep they’ll allow your stands to be in the newer buildings.","Urban Fire"
"6-Alarm #Fire #BoundBrook #NewJersey Sun Massive Fire Start ~8PM 5 Story 174 Apt Bldg And Retail Under… https://t.co/mkAGx1QlRw","Urban Fire"
"Displaced home and business owners. Shut down the transit system. Burned down adjacent homes and buildings. NJ has the solutio…","Urban Fire"
"An enormous fire on Sunday engulfed two apartment buildings that were under construction in Bound Brook, New Jersey, sowing pa…","Urban Fire"
"Nearly 12 hours after this fire began, crews are STILL at the scene hosing down buildings to keep neighbors out of har…","Urban Fire"
"A raging fire in Bound Brook, New Jersey, on Sunday destroyed several buildings and went to seven alarms.… https://t.co/b12SdhSF4Z","Urban Fire"
"If 1 fire (4 buildings) knocks out to power to thousands what would a purposeful attack on the power grid do? Maybe… https://t.co/u8BWaYrDZw","Urban Fire"
"When fire ravaged Notre-Dame Cathedral in Paris on April 15, 2019, the whole world was in shock that the heritage o… https://t.co/oH3NIOqnLq","Urban Fire"
"2 buildings on fire at seminole State College Stanford campus. 8 fire trucks including some from Longwood. #seminolestate.","Urban Fire"
"Attention Raiders, the Seminole County Fire Department is on the SLM Campus assessing smoke from an electrical issue in…","Urban Fire"
"Attention Raiders, the Seminole County Fire Department is on the SLM Campus assessing smoke from an electrical issu… https://t.co/ApGtkwDNco","Urban Fire"
"Displaced home and business owners. Shut down the transit system. Burned down adjacent homes and buildings. NJ has… https://t.co/pUdNLV7mbH","Urban Fire"
"A massive fire in North Jersey consumed at least five buildings, forced over 100 residents to evacuate and shut dow… https://t.co/7Y2wjitVyi","Urban Fire"
"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch… https://t.co/1llyVlN0iJ","Urban Fire"
"Sad news coming from Bhainsa, Nirmal district, #Telangana peaceful stone pelter and mobs have selectively targete… https://t.co/wxq4ZcJARF","Urban Fire"
"No one was injured after a fire on the 6th floor of the apartment buildings on N. Elizabeth St. in Lima. https://t.co/1tP3OuqyQe","Urban Fire"
"Inferno on Black Friday 1939: 71 deaths, 3,700 buildings, too much fuel and “lit by the hand of man” « JoNova https://t.co/ieD…","Urban Fire"
"Update: the fire crossed the street. I’m hearing at least five buildings on that side affected. Town has several bl… https://t.co/0hR1HV8cIc","Urban Fire"
"Nearly 12 hours after this fire began, crews are STILL at the scene hosing down buildings to keep neighbors out of… https://t.co/6YAj9uh9Yb","Urban Fire"
"Massive fire in New Jersey leaves thousands without power: U.S. media A massive fire engulfed many buildings in Bound B…","Urban Fire"
"Massive fire in New Jersey leaves thousands without power: U.S. media A massive fire engulfed many buildings in Bou… https://t.co/aO79viaMHT","Urban Fire"
"On 2nd Dec 2019, Nigerian police invaded Barrister Ejiofor’s home to assassinate him. He escaped, but the force killed some…","Urban Fire"
"Inferno on Black Friday 1939: 71 deaths, 3,700 buildings, too much fuel and “lit by the hand of man” « JoNova… https://t.co/tHhw0dRMin","Urban Fire"
"On Sunday night, NJ Transit suspended the Raritan Valley line and residents were being told to stay away as crews b… https://t.co/ZkQCnUCHZN","Urban Fire"
"A massive fire in Somerset County consumed at least five buildings, forced over 100 residents to evacuate and suspe… https://t.co/72cwoB36DA","Urban Fire"
"This firefight far from over, Fire started at an apartment complex that was under construction,…","Urban Fire"
"Thousands of churches in France and the UK have been vandalised and bur… https://t.co/3NzuxTyVgO","Wild Fire"
"🚨 AUSTRALIA IS ON FIRE 😭 At least 24 people have so far been killed - including three volunteer firefighters - and mor…","Wild Fire"
"Hello all, as you guys know Australia has been on fire for quite a while now, almost 500,000,000 animals have been wiped o…","Wild Fire"
"The trial over Ghylaine Bouchait is underway in Nanterre outside Paris. She burned to death inside her apartment in a fire…","Wild Fire"
"Its fun being a School Boy and running a Nation. Until 28 Australians die... half th… https://t.co/GR1AtA5YKC","Wild Fire"
"Hello all, as you guys know Australia has been on fire for quite a while now, almost 500,000,000 animals have been… https://t.co/YLq11QTQ4R","Wild Fire"
"The trial over Ghylaine Bouchait is underway in Nanterre outside Paris. She burned to death inside her apartment in… https://t.co/79q5mHKINg","Wild Fire"
"Just like what happened with #Yezidi girls who refused to be sex slaves! 7000 Yezidis were kidnapped ,enslaved. 19 were…","Wild Fire"
"Roommates are fun. Got home from work at midnight to find out one of them had burned down half the house. GG Life, GG.","Wild Fire"
"""This devastating loss due to the fires is simply unfathomable."" Since August, about 7 million acres — about a sixth of t…","Wild Fire"
"amazon, australia and california is burning. indonesia is sinking and many people died. the ice are melting. oceans are cont…","Wild Fire"
". at : The Iranian people are in the streets. They’re burning posters and billboards with Soleimani’s f…","Wild Fire"
"Come on - the country is burning. Over a billion animals are dead. And you somehow think it’s still appr…","Wild Fire"
"Day 90: Burning tires, blocked roads across Lebanon https://t.co/ML2rWq3WAX","Wild Fire"
"Staff at Mogo Zoo on the NSW South Coast saved the property, fighting fires burning at the zoo. These gorgeous gibbons were…","Wild Fire"
"Australian guy has been helping koalas after the bush fires https://t.co/ceAr6A6HGO","Wild Fire"
"A 1.5-million-acre “megafire” is threatening Australia. Indonesia is dealing with deadly floods. We cannot keep avoiding…","Wild Fire"
"Rural Fire Service volunteer firefighter rescues a possum fleeing one of Australia's raging bush fires. More than 1 billion animal…","Wild Fire"
"All animals will survive &amp","Wild Fire"
"The bush fires destruction of nature and wildlife in Australia has hit home hard with many of us we thought it only ap…","Wild Fire"
"Yesterday, I said kangaroos were digging holes to save their Joeys from #AustralianBushfires. Several Australian field bi…","Wild Fire"
"Smoke from Aussie bush fires to circle the Earth, spreading pollution: Nasa https://t.co/82lxgUCTaV","Wild Fire"
"At 9:00pm there are 105 bush and grass fires burning across NSW, with 38 not yet contained. All fires are currently at the Advi…","Wild Fire"
"THE GREAT AUSTRALIAN BUSH FIRES: The 2019-2020 Australian summer is an apocalyptic warning of what climate change can d…","Wild Fire"
"A picture can speak a thousand words..... God Bless all those who are fighting the terrible Australian Bush fires. They are t…","Wild Fire"
"So what happened to Australian bush fires? Or the tens of thousands of people displaced in the Philippines due to a… https://t.co/QNj5IFoozz","Wild Fire"
"The Australian bush fires have been and continue to be devastating. We, like many others, feel we have a responsibility t…","Wild Fire"
"The ongoing Australian bush fires with more than 1 billion wild animal victims is a first grade biodiversity catastrop…","Wild Fire"
"Two Men arrested on suspicion of terrorism in Australia for starting bush-fires, laugh.... Nearly half a billion animals h…","Wild Fire"
"Australia's catastrophic bushfires and the smoke haze blanketing major cities have sparked concerns among international students,…","Wild Fire"
"1 Billion Animals Killed In #BushfireCrisis , Scientists Warns Of Catastrophic Extinctions , The Animals At Risk During And…","Wild Fire"
"These fires were preceded by the hottest and driest conditions in Aus history. Unless there are global reductions in…","Wild Fire"
"10 years ago, Haiti was devastated by a tragic and catastrophic earthquake. Let’s take a time today to remember and pra…","Earthquake"
"10 years ago today, a devastating earthquake wreaked havoc on Haiti, claiming over 250K lives and injuring an estimated 1.5 mil…","Earthquake"
"Up next on #abc730..the desperate measures some communities are taking to ensure they have enough water to survive. …","Drought"
"Wow. Stanthorpe's runs out of water. Stanthorpe isn't a little village in the outback. It's 5,500 people 160km from the ocea…","Drought"
"Eight megadroughts are identified in eastern Australia including one 39 year drought (A.D. 1174–1212), which occurred during a…","Drought"
"5,000 feral camels culled in drought-hit Australia https://t.co/kt0qPlhAuK https://t.co/2IL9O7di34","Drought"
"The combination of drought and fire is having a devastating impact on honey production. #abc730 #bees https://t.co…","Drought"
"5,000 feral camels culled in drought-hit Australia https://t.co/kt0qPlhAuK https://t.co/2IL9O7di34","Drought"
"Water-related crime doubles as drought hits many Indian states https://t.co/RKLMTlmn2U","Drought"
"Zimbabwe will run out of food in February due to a prolonged drought and continuing economic crisis This is a vital proo…","Drought"
"1/ In #Braidwood farmers already crippled by drought have lost 100s of kilometres of fencing in #AustraliaFires. Today, a…","Drought"
"Our thoughts are with our Stanthorpe members who ran out of water today 😪 a member from #stanthorpe travelled 1.5 hours t…","Drought"
"This grey gum lost a large limb overnight following the ~40C day we had yesterday in Western Sydney. #Eucalyp…","Drought"
"#EarthquakePH #EarthquakeCavite Earthquake Information No.1 Date and Time: 14 Jan 2020 - 04:13 PM Magnitude = 2.0 Depth…","Earthquake"
"#Sismo M 4.5 SOUTHEAST OF EASTER ISLAND. 14-01-2020 07:31 UTC https://t.co/lQweuzpmE7 #Temblor #CSEM #EMSC… https://t.co/k0lTi1Tjvz","Earthquake"
"Map of felt reports received so far following the #earthquake M4.1 in Puerto Rico Region 41 min ago https://t.co/TruDdNKx3k","Earthquake"
"Temblor: mb 4.5 SOUTHEAST OF EASTER ISLAND: Magnitude mb 4.5 Region SOUTHEAST OF EASTER ISLAND Date time 2020… https://t.co/LMmKlDi1Bz","Earthquake"
"M 4.5, Southeast of Easter Island #earthquake #Sismo https://t.co/D4TqNwuMgU","Earthquake"
"M 4.3, Myanmar-India Border Region #earthquake #Sismo https://t.co/rF4lj6DQUN","Earthquake"
"M 4.7, Philippine Islands Region #earthquake #Sismo https://t.co/znRbUCPT5N","Earthquake"
"Our fellow Americans in Puerto Rico can use our support after this week’s earthquakes. They’ve shown their enduring spirit…","Earthquake"
"Another quake: A 4.0 magnitude earthquake occurred 6km NW of Agoncillo (Batangas) at 11:39 PM. It was felt in Tagaytay…","Earthquake"
"Earthquake Information No.1 Date and Time: 14 Jan 2020 - 04:33 PM Magnitude = 1.6 Depth = 025 kilometers Location = 13.8…","Earthquake"
"JUST IN: An earthquake was felt in parts of CALABARZON and Metro Manila. Details to follow.","Earthquake"
"A M4.7 earthquake has been reported by the GEOFON for M 4.7, Philippine Islands Region. Link: https://t.co/rRGeAgetcb","Earthquake"
"After this weekend's 6.0 earthquake, we continue to pray for our fellow American citizens in Puerto Rico. Trump Admin mu…","Earthquake"
"A M1.7 earthquake has been reported by the GeoNetNZ for 15 km north of Turangi. Link: https://t.co/QA7vx03M6x","Earthquake"
"A M2.4 earthquake has been reported by the GeoNetNZ for 10 km north-west of Culverden. Link: https://t.co/FbZzc4WOdl","Earthquake"
"42 min.ago #earthquake 3.6 has hit Canas Barrio (Ponce), Puerto Rico, 3.7mi, 4:07 AM AST (RSPR)… https://t.co/DfgMZAmpGX","Earthquake"
"#Earthquake (#sismo) M4.5 strikes 1,402 km W of #Castro (#Chile) 1hr 13min ago. More info: https://t.co/smgzgbPYn2","Earthquake"
"Map of felt reports received so far following the #earthquake M4.1 in Puerto Rico Region 41 min ago https://t.co/TruDdNKx3k","Earthquake"
"That’s good, because I’m getting ready to hit that continent with a massive earthquake!","Earthquake"
"35 min.ago #earthquake 3.6 has hit Canas Barrio (Ponce), Puerto Rico, 3.7mi, 4:07 AM AST (RSPR) https://t.co/Wjp7xWbzuA #Tem…","Earthquake"
"M2.4 quake causing weak shaking near Culverden https://t.co/IYjdhcZWjZ","Earthquake"
"3.1 magnitude #earthquake. 14 km from #Volcano, HI, United States https://t.co/kszc5iyIVl","Earthquake"
"3.5 magnitude earthquake recorded in Bulgan aimag #MONTSAME #Mongolia https://t.co/yteSvu24Q8","Earthquake"
"M2.4 quake causing weak shaking near Culverden https://t.co/IYjdhcZWjZ","Earthquake"
